Impactcategory,Unit,"ACSA)MA&MMABMM AC16VS;AC11VS;AC8VS;AC5VTM SMA11S;SMA8S;SMA8TM;SMA5TM SMA5N;SMA8N BBTM11A;BBTM8A,(RUGOVIA)"
,,VIASAF5
,,A1-A3,C1,C2,C3,C4,D
Climate change-Total,kg CO2 eq.,114.35,1.21,5.20,0.70,0.00,-80.59
Climate change-Fossil,kg CO2eq.,113.95,1.21,5.19,0.70,0.00,-80.25
Climate change-Biogenic,kg CO2 eq.,3.55E-01,2.77E-04,3.99E-03,1.60E-04,0.00E+00,-2.90E-01
Climate change-Land use and land,kg CO2eq.,5.27E-02,1.36E-04,2.44E-03,7.85E-05,0.00E+00,-4.52E-02
use change Ozone depletion,kg CFC 11 eq.,3.43E-06,1.92E-08,1.14E-07,1.11E-08,0.00E+00,-2.12E-06
Acidification,mol H+ eq.,8.87E-01,1.12E-02,1.75E-02,6.47E-03,0.00E+00,-8.33E-01
Eutrophication aquatic freshwater,kg P eq.,9.03E-03,3.70E-05,3.69E-04,2.14E-05,0.00E+00,-7.79E-03
Eutrophication aquatic marine,kg N eq.,2.59E-01,5.18E-03,6.05E-03,3.00E-03,0.00E+00,-2.40E-01
Eutrophication terrestrial,mol N eq.,2.88E+00,5.63E-02,6.39E-02,3.26E-02,0.00E+00,
Photochemicalozone formation,kg NMVOC eq.,8.76E-01,1.67E-02,2.72E-02,9.65E-03,0.00E+00,2.67E+00 -7.79E-01
Depletion of abiotic resources-,kg Sb eq.,2.88E-04,4.22E-07,1.40E-05,2.44E-07,0.00E+00,-2.46E-04
minerals and metals* Depletion of abiotic resources-fossil,"MJ, net calorific",4391.66,15.69,74.37,9.07,0.00,-3909.34
fuels* Water use*,value m3 world eq. deprived,10.97,0.03,0.36,0.02,0.00,-9.73
