Indicator Unit,A1-,A3,A4,A5,ResultspertonneofDiamondSeries B1,B2,B3,B4,B5,B6,B7,C1,C2,C3,C4,D
PERE,MJ,1.12E +04,1.06E +01,9.70E +01,0.00E +00,0.00E +00,0.00E +00,0.00E +00,0.00E 00+,0.00E 00+,0.00E +00,0.00E +00,2.37E +01,3.56E +00,8.58E 00+,2.60E
PERM,MJ,6.40E +02,0.00E +00,6.40E +02,0.00E +00,0.00E +00,0.00E +00,0.00E +00,0.00E +00,0.00E +00,0.00E +00,0.00E +00,0.00E +00,0.00E +00,0.00E +00,+04 0.00E +00
PERT,MJ,1.19E +04,1.06E +01,5.43E +02,0.00E +00,0.00E 00+,0.00E 00+,0.00E +00,0.00E +00,0.00E +00,0.00E +00,0.00E +00,2.37E +01,3.56E 00+,8.58E 00+,2.60E +04
PENRE,MJ,1.09E +05,2.95E +03,4.62E +02,0.00E +00,0.00E +00,0.00E +00,0.00E +00,0.00E +00,0.00E 00+,0.00E +00,0.00E +00,5.95E +02,3.84E +01,5.26E +01,5.74E +04
PENRM,MJ,1.12E +04,0.00E +00,3.58E +02,0.00E +00,0.00E +00,0.00E +00,0.00E +00,0.00E +00,0.00E +00,0.00E +00,0.00E +00,0.00E +00,8.22E +03,2.60E +03,0.00E +00
PENRT,MJ,1.20E +05,2.95E +03,1.04E +02,0.00E +00,0.00E +00,0.00E +00,0.00E +00,0.00E +00,0.00E 00+,0.00E +00,0.00E +00,5.95E +02,8.18E +03,2.54E +03,5.74E +04
SM,kg,0.00E +00,0.00E +00,0.00E +00,0.00E +00,0.00E +00,0.00E +00,0.00E +00,0.00E +00,0.00E +00,0.00E +00,0.00E +00,0.00E +00,0.00E +00,0.00E +00,0.00E +00
RSF,MJ,0.00E 00+,0.00E +00,0.00E +00,0.00E +00,0.00E +00,0.00E +00,0.00E +00,0.00E 00+,0.00E +00,0.00E +00,0.00E +00,0.00E +00,0.00E 00+,0.00E 00+,0.00E +00
NRSF,MJ,0.00E +00,0.00E +00,0.00E +00,0.00E +00,0.00E +00,0.00E +00,0.00E +00,0.00E +00,0.00E 00+,0.00E +00,0.00E +00,0.00E +00,0.00E +00,0.00E +00,0.00E +00
FW,m3,5.53E +01,3.22E- 02,3.14E- 01,0.00E +00,0.00E +00,0.00E 00+,0.00E +00,0.00E +00,0.00E +00,0.00E +00,0.00E +00,8.13E- 02,1.09E- 02,1.33E- 02,6.58E +01
Acronyms water,non-renewable primary energy excluding non-renewable primary energy resources used as raw materials; PENRM = Use of non- renewable primary energy resources used as raw materials; PENRT = Total use of non-renewable primary energy re-sources; SM = Use of secondary material; RSF = Use of renewable secondary fuels; NRSF = Use of non-renewable secondary fuels; FW = Use of net fresh,,,PERE = Use of renewable primary energy excluding renewable primary energy resources used as raw materials; PERM = Use of,,,,,,,,,,,,
