Environmental Impacts for 1 kg of Supreme Stucco Putty,,,,,,
Impact Category,Unit,A1,A2,A3,A1-A3,A4
,kg CO eq2,0.499,49.3E-3,0.126,0.674,
"",kg CO eq2,0,0,0,0,
"",kg CO eq2,0.004,25.7E-6,118E-6,0.005,
,kg CO eq2,0.503,0.049,0.126,0.674,
,kg CFC-11 eq,22.2E-9,737E-12,1.19E-9,24.1E-9,
,mol H+ eq,0.003,206E-6,0.001,0.004,
,kg P eq,144E-6,3.9E-6,29.5E-6,178E-6,
,kg N eq,0.001,64.9E-6,111E-6,0.001,
,mol N eq,0.007,0.001,0.001,0.009,
,kg NMVOC,0.002,256E-6,434E-6,0.003,
,kg Sb eq,9.45E-6,155E-9,367E-9,9.97E-6,
,MJ,6.943,0.691,3.158,10.792,
,m3 depriv.,0.277,0.003,0.030,0.310,
,disease inc.,30.3E-9,3.85E-9,6.42E-9,40.6E-9,
,kBq U-235 eq,0.025,0.001,0.007,0.033,
,CTUe,6.38,0.385,0.338,7.11,
,CTUh,704E-12,44.5E-12,124E-12,873E-12,
,CTUh,18.4E-9,979E-12,1.71E-9,21.1E-9,
,Pt,2.64,0.404,2.410,5.45,
